Transaction Date,Post Date,Description,Category,Type,Amount,Memo
2024-01-02,2024-01-03,TRADER JOE'S #542 SEATTLE WA,Groceries,Sale,64.20,
2024-01-05,2024-01-05,MEDITATION APP PRO TRIAL*849,Software,Sale,1.00,Intro trial
2024-01-08,2024-01-09,SHELL OIL 5738249 SEATTLE WA,Gas,Sale,42.50,
2024-01-12,2024-01-12,MEDITATION APP PRO TRIAL*849,Software,Sale,59.99,Auto-converted full year/tier
2024-01-14,2024-01-15,AMZN DIG*2948 866-216-1072 WA,Shopping,Sale,14.99,Prime monthly
2024-01-15,2024-01-16,NETFLIX.COM 866-579-7172 CA,Entertainment,Sale,15.49,Standard tier
2024-01-18,2024-01-19,SPOTIFY USA 129384 NY,Entertainment,Sale,16.99,Family plan
2024-01-20,2024-01-21,PLANET FIT CLUB #104 SEATTLE WA,Fitness,Sale,24.99,Monthly dues
2024-01-22,2024-01-23,SWEETGREEN 128 SEATTLE WA,Dining,Sale,18.45,
2024-01-25,2024-01-26,ADOBE *CREATIVE CLOUD 800-833-6687 CA,Software,Sale,54.99,Cloud sub
2024-01-28,2024-01-29,UBER TRIP *TRIP-9382 SAN FRANCISCO CA,Travel,Sale,28.75,
2024-02-03,2024-02-04,TARGET T-2384 SEATTLE WA,Shopping,Sale,88.10,
2024-02-12,2024-02-12,MEDITATION APP PRO TRIAL*849,Software,Sale,59.99,
2024-02-14,2024-02-15,AMZN DIG*2948 866-216-1072 WA,Shopping,Sale,14.99,
2024-02-15,2024-02-16,NETFLIX.COM 866-579-7172 CA,Entertainment,Sale,15.49,
2024-02-18,2024-02-19,SPOTIFY USA 129384 NY,Entertainment,Sale,16.99,
2024-02-20,2024-02-21,PLANET FIT CLUB #104 SEATTLE WA,Fitness,Sale,24.99,
2024-02-22,2024-02-23,WHOLE FOODS MKT 104 SEATTLE WA,Groceries,Sale,112.40,
2024-02-25,2024-02-26,ADOBE *CREATIVE CLOUD 800-833-6687 CA,Software,Sale,54.99,
2024-02-28,2024-02-29,DELTA AIR LINES 00628392 ATLANTA GA,Travel,Sale,348.60,
2024-03-02,2024-03-03,TRADER JOE'S #542 SEATTLE WA,Groceries,Sale,72.15,
2024-03-14,2024-03-15,AMZN DIG*2948 866-216-1072 WA,Shopping,Sale,14.99,
2024-03-15,2024-03-16,NETFLIX.COM 866-579-7172 CA,Entertainment,Sale,15.49,
2024-03-18,2024-03-19,SPOTIFY USA 129384 NY,Entertainment,Sale,16.99,
2024-03-20,2024-03-21,PLANET FIT CLUB #104 SEATTLE WA,Fitness,Sale,24.99,
2024-03-25,2024-03-26,ADOBE *CREATIVE CLOUD 800-833-6687 CA,Software,Sale,54.99,
2024-03-28,2024-03-29,CHIPOTLE 2849 SEATTLE WA,Dining,Sale,15.80,
2024-04-05,2024-04-06,TARGET T-2384 SEATTLE WA,Shopping,Sale,45.30,
2024-04-14,2024-04-15,AMZN DIG*2948 866-216-1072 WA,Shopping,Sale,14.99,
2024-04-15,2024-04-16,NETFLIX.COM 866-579-7172 CA,Entertainment,Sale,22.99,Silent price hike!
2024-04-18,2024-04-19,SPOTIFY USA 129384 NY,Entertainment,Sale,16.99,
2024-04-20,2024-04-21,PLANET FIT CLUB #104 SEATTLE WA,Fitness,Sale,24.99,
2024-04-25,2024-04-26,ADOBE *CREATIVE CLOUD 800-833-6687 CA,Software,Sale,54.99,
2024-05-14,2024-05-15,AMZN DIG*2948 866-216-1072 WA,Shopping,Sale,14.99,
2024-05-15,2024-05-16,NETFLIX.COM 866-579-7172 CA,Entertainment,Sale,22.99,
2024-05-18,2024-05-19,SPOTIFY USA 129384 NY,Entertainment,Sale,16.99,
2024-05-20,2024-05-21,PLANET FIT CLUB #104 SEATTLE WA,Fitness,Sale,24.99,
2024-05-25,2024-05-26,ADOBE *CREATIVE CLOUD 800-833-6687 CA,Software,Sale,54.99,
2024-06-14,2024-06-15,AMZN DIG*2948 866-216-1072 WA,Shopping,Sale,14.99,
2024-06-15,2024-06-16,NETFLIX.COM 866-579-7172 CA,Entertainment,Sale,22.99,
2024-06-18,2024-06-19,SPOTIFY USA 129384 NY,Entertainment,Sale,16.99,
2024-06-20,2024-06-21,PLANET FIT CLUB #104 SEATTLE WA,Fitness,Sale,24.99,
2024-06-25,2024-06-26,ADOBE *CREATIVE CLOUD 800-833-6687 CA,Software,Sale,54.99,
