Date,Description,Amount,Category,Extended Details
2024-01-01,AMAZON WEB SERVICES AWS.AMAZON.CO WA,142.50,Cloud Infrastructure,Cloud compute & S3
2024-01-03,GITHUB, INC. 877-448-4820 CA,42.00,Developer Tools,Team seats (10 users)
2024-01-05,OPENAI *CHATGPT SUBSCRIPTION,20.00,AI & Dev Tools,Plus team account
2024-01-06,SLACK TECHNOLOGIES INC SAN FRANCISCO CA,87.50,Productivity,Standard workspace
2024-01-07,NOTION LABS INC SAN FRANCISCO CA,36.00,Productivity,Team workspace
2024-01-10,DROPBOX*39824 SAN FRANCISCO CA,11.99,Cloud Storage,Pro tier
2024-01-15,ZOOM.US 888-799-9666 SAN JOSE CA,15.99,Productivity,Pro meeting license
2024-01-20,APPLE STORE #R102 BELLEVUE WA,1899.00,Hardware,MacBook Air M3
2024-02-01,AMAZON WEB SERVICES AWS.AMAZON.CO WA,148.20,Cloud Infrastructure,Cloud compute & S3
2024-02-03,GITHUB, INC. 877-448-4820 CA,42.00,Developer Tools,Team seats
2024-02-05,OPENAI *CHATGPT SUBSCRIPTION,20.00,AI & Dev Tools,Plus team account
2024-02-06,SLACK TECHNOLOGIES INC SAN FRANCISCO CA,87.50,Productivity,Standard workspace
2024-02-07,NOTION LABS INC SAN FRANCISCO CA,36.00,Productivity,Team workspace
2024-02-10,DROPBOX*39824 SAN FRANCISCO CA,11.99,Cloud Storage,Pro tier
2024-02-15,ZOOM.US 888-799-9666 SAN JOSE CA,15.99,Productivity,Pro meeting license
2024-02-18,DELTA AIR LINES 00628919 ATLANTA GA,580.40,Travel,Conference travel
2024-03-01,AMAZON WEB SERVICES AWS.AMAZON.CO WA,153.10,Cloud Infrastructure,Cloud compute & S3
2024-03-03,GITHUB, INC. 877-448-4820 CA,42.00,Developer Tools,Team seats
2024-03-05,OPENAI *CHATGPT SUBSCRIPTION,20.00,AI & Dev Tools,Plus team account
2024-03-06,SLACK TECHNOLOGIES INC SAN FRANCISCO CA,87.50,Productivity,Standard workspace
2024-03-07,NOTION LABS INC SAN FRANCISCO CA,36.00,Productivity,Team workspace
2024-03-10,DROPBOX*39824 SAN FRANCISCO CA,14.99,Cloud Storage,Price hike from 11.99 to 14.99
2024-03-15,ZOOM.US 888-799-9666 SAN JOSE CA,15.99,Productivity,Pro meeting license
2024-04-01,AMAZON WEB SERVICES AWS.AMAZON.CO WA,149.80,Cloud Infrastructure,Cloud compute & S3
2024-04-03,GITHUB, INC. 877-448-4820 CA,42.00,Developer Tools,Team seats
2024-04-05,OPENAI *CHATGPT SUBSCRIPTION,20.00,AI & Dev Tools,Plus team account
2024-04-06,SLACK TECHNOLOGIES INC SAN FRANCISCO CA,87.50,Productivity,Standard workspace
2024-04-07,NOTION LABS INC SAN FRANCISCO CA,36.00,Productivity,Team workspace
2024-04-10,DROPBOX*39824 SAN FRANCISCO CA,14.99,Cloud Storage,
2024-04-15,ZOOM.US 888-799-9666 SAN JOSE CA,15.99,Productivity,Pro meeting license
